"customer_id","customer_name","country_code","segment","created_date","is_active"
"1000","Customer_1000","FR","Enterprise","2026-01-27","1"
"1001","Customer_1001","US","Enterprise","2026-06-03","1"
"1002","Customer_1002","US","Public","2026-02-19","1"
"1003","Customer_1003","CH","Enterprise","2026-03-22","1"
"1004","Customer_1004","CH","Enterprise","2026-06-22","1"
"1005","Customer_1005","JP","Enterprise","2026-01-20","1"
"1006","Customer_1006","IE","SMB","2026-01-10","1"
"1007","Customer_1007","US","Public","2026-05-27","1"
"1008","Customer_1008","US","Enterprise","2026-03-07","1"
"1009","Customer_1009","IE","Enterprise","2026-04-24","0"
"1010","Customer_1010","FR","SMB","2026-02-01","1"
"1011","Customer_1011","GB","Public","2026-05-13","1"
"1012","Customer_1012","US","Public","2026-03-03","1"
"1013","Customer_1013","US","Enterprise","2026-05-09","1"
"1014","Customer_1014","GB","SMB","2026-05-30","1"
"1015","Customer_1015","US","Enterprise","2026-03-19","1"
"1016","Customer_1016","GB","Public","2026-01-16","1"
"1017","Customer_1017","GB","Public","2026-04-04","1"
"1018","Customer_1018","JP","Enterprise","2026-06-25","1"
"1019","Customer_1019","GB","Enterprise","2026-05-19","1"
"1020","Customer_1020","NL","Public","2026-04-08","1"
"1021","Customer_1021","CH","Enterprise","2026-03-21","1"
"1022","Customer_1022","JP","Public","2026-04-23","1"
"1023","Customer_1023","DE","Public","2026-05-05","1"
"1024","Customer_1024","GB","Public","2026-07-23","1"
"1025","Customer_1025","FR","Enterprise","2026-01-22","1"
"1026","Customer_1026","DE","Public","2026-02-01","1"
"1027","Customer_1027","US","SMB","2026-04-19","0"
"1028","Customer_1028","IE","Public","2026-06-01","1"
"1029","Customer_1029","CH","Public","2026-05-18","1"
"1030","Customer_1030","DE","Public","2026-01-06","1"
"1031","Customer_1031","DE","Enterprise","2026-02-15","1"
"1032","Customer_1032","JP","Enterprise","2026-07-30","1"
"1033","Customer_1033","GB","Enterprise","2026-03-10","0"
"1034","Customer_1034","IE","Enterprise","2026-01-09","0"
"1035","Customer_1035","NL","Enterprise","2026-07-16","0"
"1036","Customer_1036","DE","SMB","2026-05-15","1"
"1037","Customer_1037","US","Enterprise","2026-02-08","1"
"1038","Customer_1038","US","Public","2026-07-29","0"
"1039","Customer_1039","US","Public","2026-02-09","1"
"1040","Customer_1040","CH","SMB","2026-06-01","1"
"1041","Customer_1041","CH","SMB","2026-07-06","1"
"1042","Customer_1042","DE","Public","2026-04-09","1"
"1043","Customer_1043","NL","Public","2026-01-28","1"
"1044","Customer_1044","GB","Enterprise","2026-07-19","1"
"1045","Customer_1045","JP","SMB","2026-03-26","1"
"1046","Customer_1046","NL","Public","2026-07-08","1"
"1047","Customer_1047","DE","SMB","2026-05-11","0"
"1048","Customer_1048","IE","Public","2026-03-01","1"
"1049","Customer_1049","CH","Public","2026-02-22","0"
"1050","Customer_1050","FR","Enterprise","2026-02-28","1"
"1051","Customer_1051","IE","SMB","2026-01-18","1"
"1052","Customer_1052","IE","Public","2026-06-15","0"
"1053","Customer_1053","NL","SMB","2026-07-08","0"
"1054","Customer_1054","US","SMB","2026-02-14","1"
"1055","Customer_1055","CH","Public","2026-01-24","0"
"1056","Customer_1056","DE","SMB","2026-06-02","1"
"1057","Customer_1057","CH","Public","2026-05-04","1"
"1058","Customer_1058","NL","Enterprise","2026-01-12","1"
"1059","Customer_1059","DE","Enterprise","2026-03-03","1"
"1060","Customer_1060","NL","SMB","2026-03-19","1"
"1061","Customer_1061","IE","SMB","2026-07-31","1"
"1062","Customer_1062","IE","Enterprise","2026-02-08","0"
"1063","Customer_1063","CH","SMB","2026-03-24","0"
"1064","Customer_1064","GB","SMB","2026-07-06","1"
"1065","Customer_1065","NL","Public","2026-07-08","1"
"1066","Customer_1066","DE","SMB","2026-01-04","0"
"1067","Customer_1067","JP","Public","2026-05-19","0"
"1068","Customer_1068","DE","Public","2026-06-09","1"
"1069","Customer_1069","DE","SMB","2026-01-10","1"
"1070","Customer_1070","CH","SMB","2026-03-14","1"
"1071","Customer_1071","CH","SMB","2026-05-09","1"
"1072","Customer_1072","FR","Enterprise","2026-01-29","0"
"1073","Customer_1073","DE","Public","2026-03-16","1"
"1074","Customer_1074","CH","SMB","2026-02-02","1"
"1075","Customer_1075","FR","Enterprise","2026-07-20","1"
"1076","Customer_1076","FR","Enterprise","2026-05-17","1"
"1077","Customer_1077","IE","SMB","2026-05-11","1"
"1078","Customer_1078","JP","Enterprise","2026-06-17","1"
"1079","Customer_1079","CH","Public","2026-03-29","1"
"1080","Customer_1080","NL","Public","2026-02-17","1"
"1081","Customer_1081","CH","Public","2026-05-28","1"
"1082","Customer_1082","CH","Public","2026-04-06","0"
"1083","Customer_1083","CH","Public","2026-01-09","1"
"1084","Customer_1084","JP","Enterprise","2026-04-30","1"
"1085","Customer_1085","GB","Public","2026-04-08","1"
"1086","Customer_1086","JP","Public","2026-03-29","1"
"1087","Customer_1087","US","Public","2026-04-09","0"
"1088","Customer_1088","NL","SMB","2026-02-14","0"
"1089","Customer_1089","NL","SMB","2026-05-16","0"
"1090","Customer_1090","CH","Enterprise","2026-01-14","1"
"1091","Customer_1091","NL","SMB","2026-07-14","1"
"1092","Customer_1092","US","SMB","2026-01-29","1"
"1093","Customer_1093","GB","Enterprise","2026-05-19","1"
"1094","Customer_1094","US","Public","2026-06-25","0"
"1095","Customer_1095","JP","SMB","2026-01-28","0"
"1096","Customer_1096","DE","SMB","2026-01-11","1"
"1097","Customer_1097","FR","Enterprise","2026-04-23","0"
"1098","Customer_1098","CH","Public","2026-07-11","1"
"1099","Customer_1099","NL","SMB","2026-03-27","0"
"1100","Customer_1100","IE","Public","2026-07-19","0"
"1101","Customer_1101","FR","Enterprise","2026-06-19","0"
"1102","Customer_1102","IE","Enterprise","2026-05-31","0"
